"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Argentina","2022-09","South America",0.00882942995543664,0,0.11854857143796,0.244688607610509,0.174535366514621,0.263910701325508,0,0.189487323155966,0,0.293083937952581,0.263910701325508,0.443005360721912,83.451,45276780,22.5154492297218
"Bahrain","2022-09","Asia",0,0,0,0.25,0.25,0.5,0,0,0,0.25,0.5,0.25,83.7683333333333,1463265,2.14203575
"Egypt","2022-09","Africa",0,0.145786790777217,0.0683821410050233,0.275363529135208,0.260285296168535,0.0655075382681843,0.180970465431531,0.00370423921430164,0,0.328667437173558,0.246478003699715,0.424854559126727,36.0533333333333,109262178,10.8008309874866
"Guinea","2022-09","Africa",0,0.233404582891138,0.0176006337722904,0.0935449395375256,0.280419014663458,0.196185408289861,0.140730332879927,0.0381150879658002,0,0.298019648435748,0.336915741169788,0.365064610394463,21.33,13531906,3.41722184776386
"Jordan","2022-09","Asia",0,0,0,0.173913043478261,0.478260869565217,0.173913043478261,0,0.173913043478261,0,0.478260869565217,0.173913043478261,0.347826086956522,40.875,11148278,1.43704673913043
"Kuwait","2022-09","Asia",0,0,0.333333333333333,0.5,0.166666666666667,0,0,0,0,0.5,0,0.5,78.494,4250114,7.19665679999997
"Thailand","2022-09","Asia",0,0,0,0.425241310391589,0.119838458343795,0.152104502459536,0.302815728805079,0,0,0.119838458343795,0.454920231264615,0.425241310391589,74.6306666666667,71601103,13.5806072255145
"Tunisia","2022-09","Africa",0,0.142344623459591,0.135931496201772,0.240116914415855,0.265916317182455,0.00840353176910366,0.204485939714856,0.00280117725636789,0,0.401847813384227,0.21288947148396,0.385262715131814,52.0475,12262946,1.45116802655305
"Turkey","2022-09","Europe",0,0,0,0,0.428571428571429,0,0.357142857142857,0.214285714285714,0,0.428571428571429,0.357142857142857,0.214285714285714,62.7013333333333,84775404,5.29350119892469
"Uganda","2022-09","Africa",0,0.317308643666613,0.0923830399342421,0.126045162910702,0.319656597483846,0.0392035984199831,0.105402957584614,0,0,0.412039637418088,0.144606556004597,0.443353806577315,27.51,45853778,11.7667013024368
"Vietnam","2022-09","Asia",0,0,0,0.0188797986154814,0.458779106356199,0.39647577092511,0,0.12586532410321,0,0.458779106356199,0.39647577092511,0.144745122718691,86.0433333333333,97468028,25.584036904185
